"season","treatment","insecticide_name","UA","UD","FA","FD","total","wash_status"
"LRS",1,"IG1",0,0,4,0,4,"Unwashed"
"LRS",1,"IG1",0,0,1,0,1,"Unwashed"
"LRS",1,"IG1",0,0,1,0,1,"Unwashed"
"LRS",1,"IG1",0,0,3,0,3,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",0,3,0,0,3,"Unwashed"
"LRS",1,"IG1",0,1,1,0,2,"Unwashed"
"LRS",1,"IG1",0,12,0,0,12,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",0,1,0,3,4,"Unwashed"
"LRS",1,"IG1",0,1,0,0,1,"Unwashed"
"LRS",1,"IG1",0,2,0,2,4,"Unwashed"
"LRS",1,"IG1",0,7,0,0,7,"Unwashed"
"LRS",1,"IG1",0,1,0,0,1,"Unwashed"
"LRS",1,"IG1",0,11,0,0,11,"Unwashed"
"LRS",1,"IG1",0,1,0,0,1,"Unwashed"
"LRS",1,"IG1",0,2,0,0,2,"Unwashed"
"LRS",1,"IG1",0,0,1,0,1,"Unwashed"
"LRS",1,"IG1",0,1,4,0,5,"Unwashed"
"LRS",1,"IG1",0,3,5,0,8,"Unwashed"
"LRS",1,"IG1",0,0,1,0,1,"Unwashed"
"LRS",1,"IG1",0,0,1,0,1,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",1,0,0,0,1,"Unwashed"
"LRS",1,"IG1",0,0,0,1,1,"Unwashed"
"LRS",1,"IG1",0,1,7,4,12,"Unwashed"
"LRS",1,"IG1",0,0,1,0,1,"Unwashed"
"LRS",1,"IG1",0,1,0,0,1,"Unwashed"
"LRS",1,"IG1",0,0,7,0,7,"Unwashed"
"LRS",1,"IG1",0,0,8,0,8,"Unwashed"
"LRS",1,"IG1",0,0,4,0,4,"Unwashed"
"LRS",1,"IG1",0,0,0,0,0,"Unwashed"
"LRS",1,"IG1",0,3,0,0,3,"Unwashed"
"LRS",1,"IG1",0,1,0,0,1,"Unwashed"
"LRS",1,"IG1",0,0,1,0,1,"Unwashed"
"LRS",1,"IG1",0,0,5,0,5,"Unwashed"
